Date,AAPL,AMZN,AXP,BA,BHP,CAT,FB,GOOG,NFLX,MRK,JNJ,IVPAF,UFPI,SAM,RIO,PFE,WST,VALE,UTX,UNH
2/9/16,90.201294,482.070007,49.917336,108.335716,18.271288,58.291748,99.540001,678.109985,86.129997,44.529053,93.483459,0.435,19.377613,180.289993,20.018513,26.081781,54.46833,2.265137,80.709503,105.797073
2/10/16,89.517586,490.480011,49.594868,107.0205,18.153894,56.659618,101,684.119995,88.449997,44.864197,93.26342,0.421,19.204849,177.550003,19.931681,26.43133,54.586006,2.384355,80.450455,107.300819
2/11/16,88.976318,503.820007,48.475681,99.736214,17.768177,55.993996,101.910004,683.109985,86.349998,44.248257,93.235909,0.405,19.173439,179.600006,19.410696,26.108667,53.585693,2.182602,78.322632,105.283119
2/12/16,89.251686,507.079987,49.945786,99.91095,19.051107,57.58054,102.010002,682.400024,87.400002,44.411304,93.345917,0.428,19.446718,185.039993,20.934185,26.314812,54.115276,2.411867,79.516037,106.425232
2/16/16,91.768089,521.099976,50.438988,103.562294,19.420055,59.458847,101.610001,691,89.050003,45.090652,93.804314,0.45,19.540949,184.580002,21.186785,26.71814,55.22348,2.540255,80.006386,109.594574
2/17/16,93.173508,534.099976,50.846828,107.00209,20.225031,61.328064,105.199997,708.400024,94.760002,45.833405,93.969322,0.476,20.131483,188.649994,21.81039,26.556808,55.772671,2.806202,82.131432,112.59259
2/18/16,91.407272,525,51.358997,108.133377,20.116024,60.288601,103.470001,697.349976,90.489998,45.579781,95.564522,0.482,21.585823,184.429993,21.439384,26.485106,55.105782,2.641132,82.355148,111.783585
2/19/16,91.198341,534.900024,51.890133,105.916824,20.107637,59.650337,104.57,700.909973,89.230003,45.398624,96.18322,0.478,21.529284,181.020004,21.605154,26.43133,58.067513,2.696155,82.233971,112.002502
2/22/16,91.995995,559.5,52.762718,107.967819,21.206099,61.373653,107.160004,706.460022,91.93,45.987392,96.728027,0.494,22.179499,192.259995,22.978662,26.933247,58.302883,3.062979,86.092613,115.419273
2/23/16,89.91642,552.940002,52.269508,107.517159,20.199875,59.978592,105.459999,695.849976,89.120003,45.77906,96.109337,0.49,22.760607,191.020004,22.094566,26.852583,58.48922,2.852055,85.374931,115.305099
